,Category,Accident_Type,Year,Month,Value
169,0,0,2009,1,23.0
170,0,0,2009,2,32.0
171,0,0,2009,3,14.0
172,0,0,2009,4,45.0
173,0,0,2009,5,57.0
174,0,0,2009,6,31.0
175,0,0,2009,7,44.0
176,0,0,2009,8,35.0
177,0,0,2009,9,49.0
178,0,0,2009,10,35.0
179,0,0,2009,11,31.0
180,0,0,2009,12,34.0
182,0,0,2008,1,32.0
183,0,0,2008,2,30.0
184,0,0,2008,3,30.0
185,0,0,2008,4,25.0
186,0,0,2008,5,57.0
187,0,0,2008,6,56.0
188,0,0,2008,7,52.0
189,0,0,2008,8,44.0
190,0,0,2008,9,49.0
191,0,0,2008,10,45.0
192,0,0,2008,11,27.0
193,0,0,2008,12,35.0
195,0,0,2007,1,36.0
196,0,0,2007,2,32.0
197,0,0,2007,3,38.0
198,0,0,2007,4,49.0
199,0,0,2007,5,63.0
200,0,0,2007,6,51.0
201,0,0,2007,7,65.0
202,0,0,2007,8,44.0
203,0,0,2007,9,54.0
204,0,0,2007,10,55.0
205,0,0,2007,11,36.0
206,0,0,2007,12,37.0
208,0,0,2006,1,44.0
209,0,0,2006,2,50.0
210,0,0,2006,3,40.0
211,0,0,2006,4,40.0
212,0,0,2006,5,53.0
213,0,0,2006,6,51.0
214,0,0,2006,7,64.0
215,0,0,2006,8,48.0
216,0,0,2006,9,64.0
217,0,0,2006,10,45.0
218,0,0,2006,11,48.0
219,0,0,2006,12,52.0
221,0,0,2005,1,48.0
222,0,0,2005,2,40.0
223,0,0,2005,3,40.0
224,0,0,2005,4,40.0
225,0,0,2005,5,48.0
226,0,0,2005,6,57.0
227,0,0,2005,7,63.0
228,0,0,2005,8,48.0
229,0,0,2005,9,76.0
230,0,0,2005,10,57.0
231,0,0,2005,11,42.0
232,0,0,2005,12,41.0
234,0,0,2004,1,42.0
235,0,0,2004,2,48.0
236,0,0,2004,3,44.0
237,0,0,2004,4,37.0
238,0,0,2004,5,55.0
239,0,0,2004,6,58.0
240,0,0,2004,7,67.0
241,0,0,2004,8,58.0
242,0,0,2004,9,79.0
243,0,0,2004,10,68.0
244,0,0,2004,11,51.0
245,0,0,2004,12,52.0
247,0,0,2003,1,55.0
248,0,0,2003,2,44.0
249,0,0,2003,3,53.0
250,0,0,2003,4,50.0
251,0,0,2003,5,65.0
252,0,0,2003,6,82.0
253,0,0,2003,7,76.0
254,0,0,2003,8,66.0
255,0,0,2003,9,63.0
256,0,0,2003,10,74.0
257,0,0,2003,11,44.0
258,0,0,2003,12,58.0
260,0,0,2002,1,44.0
261,0,0,2002,2,49.0
262,0,0,2002,3,61.0
263,0,0,2002,4,65.0
264,0,0,2002,5,58.0
265,0,0,2002,6,74.0
266,0,0,2002,7,84.0
267,0,0,2002,8,71.0
268,0,0,2002,9,107.0
269,0,0,2002,10,83.0
270,0,0,2002,11,44.0
271,0,0,2002,12,63.0
273,0,0,2001,1,66.0
274,0,0,2001,2,49.0
275,0,0,2001,3,63.0
276,0,0,2001,4,68.0
277,0,0,2001,5,85.0
278,0,0,2001,6,68.0
279,0,0,2001,7,71.0
280,0,0,2001,8,60.0
281,0,0,2001,9,107.0
282,0,0,2001,10,77.0
283,0,0,2001,11,68.0
284,0,0,2001,12,66.0
286,0,0,2000,1,78.0
287,0,0,2000,2,53.0
288,0,0,2000,3,73.0
289,0,0,2000,4,78.0
290,0,0,2000,5,96.0
291,0,0,2000,6,57.0
292,0,0,2000,7,99.0
293,0,0,2000,8,77.0
294,0,0,2000,9,84.0
295,0,0,2000,10,83.0
296,0,0,2000,11,71.0
297,0,0,2000,12,85.0
324,0,1,2020,1,11.0
325,0,1,2020,2,19.0
326,0,1,2020,3,13.0
327,0,1,2020,4,15.0
328,0,1,2020,5,26.0
329,0,1,2020,6,30.0
330,0,1,2020,7,43.0
331,0,1,2020,8,29.0
332,0,1,2020,9,24.0
333,0,1,2020,10,20.0
334,0,1,2020,11,11.0
335,0,1,2020,12,9.0
337,0,1,2019,1,7.0
338,0,1,2019,2,7.0
339,0,1,2019,3,22.0
340,0,1,2019,4,18.0
341,0,1,2019,5,21.0
342,0,1,2019,6,24.0
343,0,1,2019,7,34.0
344,0,1,2019,8,23.0
345,0,1,2019,9,20.0
346,0,1,2019,10,20.0
347,0,1,2019,11,19.0
348,0,1,2019,12,12.0
350,0,1,2018,1,8.0
351,0,1,2018,2,13.0
352,0,1,2018,3,12.0
353,0,1,2018,4,8.0
354,0,1,2018,5,23.0
355,0,1,2018,6,14.0
356,0,1,2018,7,29.0
357,0,1,2018,8,18.0
358,0,1,2018,9,22.0
359,0,1,2018,10,16.0
360,0,1,2018,11,13.0
361,0,1,2018,12,6.0
363,0,1,2017,1,4.0
364,0,1,2017,2,4.0
365,0,1,2017,3,15.0
366,0,1,2017,4,10.0
367,0,1,2017,5,16.0
368,0,1,2017,6,27.0
369,0,1,2017,7,18.0
370,0,1,2017,8,14.0
371,0,1,2017,9,22.0
372,0,1,2017,10,16.0
373,0,1,2017,11,13.0
374,0,1,2017,12,17.0
376,0,1,2016,1,6.0
377,0,1,2016,2,3.0
378,0,1,2016,3,6.0
379,0,1,2016,4,8.0
380,0,1,2016,5,17.0
381,0,1,2016,6,19.0
382,0,1,2016,7,23.0
383,0,1,2016,8,12.0
384,0,1,2016,9,22.0
385,0,1,2016,10,11.0
386,0,1,2016,11,7.0
387,0,1,2016,12,10.0
389,0,1,2015,1,21.0
390,0,1,2015,2,3.0
391,0,1,2015,3,9.0
392,0,1,2015,4,23.0
393,0,1,2015,5,30.0
394,0,1,2015,6,19.0
395,0,1,2015,7,37.0
396,0,1,2015,8,29.0
397,0,1,2015,9,25.0
398,0,1,2015,10,12.0
399,0,1,2015,11,11.0
400,0,1,2015,12,6.0
402,0,1,2014,1,4.0
403,0,1,2014,2,7.0
404,0,1,2014,3,16.0
405,0,1,2014,4,15.0
406,0,1,2014,5,19.0
407,0,1,2014,6,16.0
408,0,1,2014,7,21.0
409,0,1,2014,8,13.0
410,0,1,2014,9,18.0
411,0,1,2014,10,21.0
412,0,1,2014,11,14.0
413,0,1,2014,12,3.0
415,0,1,2013,1,2.0
416,0,1,2013,2,0.0
417,0,1,2013,3,8.0
418,0,1,2013,4,5.0
419,0,1,2013,5,21.0
420,0,1,2013,6,20.0
421,0,1,2013,7,24.0
422,0,1,2013,8,22.0
423,0,1,2013,9,17.0
424,0,1,2013,10,12.0
425,0,1,2013,11,12.0
426,0,1,2013,12,10.0
428,0,1,2012,1,11.0
429,0,1,2012,2,5.0
430,0,1,2012,3,5.0
431,0,1,2012,4,22.0
432,0,1,2012,5,33.0
433,0,1,2012,6,35.0
434,0,1,2012,7,30.0
435,0,1,2012,8,31.0
436,0,1,2012,9,24.0
437,0,1,2012,10,6.0
438,0,1,2012,11,10.0
439,0,1,2012,12,11.0
441,0,1,2011,1,16.0
442,0,1,2011,2,7.0
443,0,1,2011,3,9.0
444,0,1,2011,4,27.0
445,0,1,2011,5,20.0
446,0,1,2011,6,21.0
447,0,1,2011,7,27.0
448,0,1,2011,8,17.0
449,0,1,2011,9,22.0
450,0,1,2011,10,10.0
451,0,1,2011,11,16.0
452,0,1,2011,12,6.0
454,0,1,2010,1,7.0
455,0,1,2010,2,10.0
456,0,1,2010,3,12.0
457,0,1,2010,4,25.0
458,0,1,2010,5,15.0
459,0,1,2010,6,20.0
460,0,1,2010,7,29.0
461,0,1,2010,8,25.0
462,0,1,2010,9,26.0
463,0,1,2010,10,13.0
464,0,1,2010,11,7.0
465,0,1,2010,12,12.0
467,0,1,2009,1,7.0
468,0,1,2009,2,12.0
469,0,1,2009,3,5.0
470,0,1,2009,4,31.0
471,0,1,2009,5,34.0
472,0,1,2009,6,19.0
473,0,1,2009,7,27.0
474,0,1,2009,8,26.0
475,0,1,2009,9,18.0
476,0,1,2009,10,15.0
477,0,1,2009,11,5.0
478,0,1,2009,12,14.0
480,0,1,2008,1,8.0
481,0,1,2008,2,16.0
482,0,1,2008,3,9.0
483,0,1,2008,4,10.0
484,0,1,2008,5,37.0
485,0,1,2008,6,32.0
486,0,1,2008,7,24.0
487,0,1,2008,8,23.0
488,0,1,2008,9,28.0
489,0,1,2008,10,19.0
490,0,1,2008,11,14.0
491,0,1,2008,12,20.0
493,0,1,2007,1,13.0
494,0,1,2007,2,15.0
495,0,1,2007,3,14.0
496,0,1,2007,4,27.0
497,0,1,2007,5,39.0
498,0,1,2007,6,27.0
499,0,1,2007,7,38.0
500,0,1,2007,8,20.0
501,0,1,2007,9,24.0
502,0,1,2007,10,18.0
503,0,1,2007,11,26.0
504,0,1,2007,12,20.0
506,0,1,2006,1,21.0
507,0,1,2006,2,21.0
508,0,1,2006,3,14.0
509,0,1,2006,4,16.0
510,0,1,2006,5,28.0
511,0,1,2006,6,22.0
512,0,1,2006,7,37.0
513,0,1,2006,8,25.0
514,0,1,2006,9,35.0
515,0,1,2006,10,24.0
516,0,1,2006,11,22.0
517,0,1,2006,12,21.0
519,0,1,2005,1,13.0
520,0,1,2005,2,14.0
521,0,1,2005,3,13.0
522,0,1,2005,4,19.0
523,0,1,2005,5,21.0
524,0,1,2005,6,31.0
525,0,1,2005,7,26.0
526,0,1,2005,8,33.0
527,0,1,2005,9,50.0
528,0,1,2005,10,35.0
529,0,1,2005,11,14.0
530,0,1,2005,12,12.0
532,0,1,2004,1,10.0
533,0,1,2004,2,21.0
534,0,1,2004,3,18.0
535,0,1,2004,4,10.0
536,0,1,2004,5,30.0
537,0,1,2004,6,25.0
538,0,1,2004,7,44.0
539,0,1,2004,8,47.0
540,0,1,2004,9,41.0
541,0,1,2004,10,26.0
542,0,1,2004,11,20.0
543,0,1,2004,12,12.0
545,0,1,2003,1,18.0
546,0,1,2003,2,16.0
547,0,1,2003,3,17.0
548,0,1,2003,4,25.0
549,0,1,2003,5,26.0
550,0,1,2003,6,41.0
551,0,1,2003,7,35.0
552,0,1,2003,8,40.0
553,0,1,2003,9,26.0
554,0,1,2003,10,17.0
555,0,1,2003,11,31.0
556,0,1,2003,12,27.0
558,0,1,2002,1,24.0
559,0,1,2002,2,22.0
560,0,1,2002,3,21.0
561,0,1,2002,4,28.0
562,0,1,2002,5,32.0
563,0,1,2002,6,42.0
564,0,1,2002,7,40.0
565,0,1,2002,8,29.0
566,0,1,2002,9,51.0
567,0,1,2002,10,53.0
568,0,1,2002,11,10.0
569,0,1,2002,12,27.0
571,0,1,2001,1,36.0
572,0,1,2001,2,20.0
573,0,1,2001,3,36.0
574,0,1,2001,4,32.0
575,0,1,2001,5,32.0
576,0,1,2001,6,46.0
577,0,1,2001,7,35.0
578,0,1,2001,8,21.0
579,0,1,2001,9,48.0
580,0,1,2001,10,37.0
581,0,1,2001,11,25.0
582,0,1,2001,12,23.0
584,0,1,2000,1,37.0
585,0,1,2000,2,19.0
586,0,1,2000,3,18.0
587,0,1,2000,4,26.0
588,0,1,2000,5,44.0
589,0,1,2000,6,32.0
590,0,1,2000,7,37.0
591,0,1,2000,8,32.0
592,0,1,2000,9,45.0
593,0,1,2000,10,31.0
594,0,1,2000,11,24.0
595,0,1,2000,12,31.0
622,1,0,2020,1,791.0
623,1,0,2020,2,870.0
624,1,0,2020,3,744.0
625,1,0,2020,4,607.0
626,1,0,2020,5,859.0
627,1,0,2020,6,905.0
628,1,0,2020,7,1010.0
629,1,0,2020,8,735.0
630,1,0,2020,9,948.0
631,1,0,2020,10,997.0
632,1,0,2020,11,864.0
633,1,0,2020,12,694.0
635,1,0,2019,1,927.0
636,1,0,2019,2,883.0
637,1,0,2019,3,1005.0
638,1,0,2019,4,967.0
639,1,0,2019,5,1014.0
640,1,0,2019,6,994.0
641,1,0,2019,7,1187.0
642,1,0,2019,8,820.0
643,1,0,2019,9,996.0
644,1,0,2019,10,1088.0
645,1,0,2019,11,967.0
646,1,0,2019,12,925.0
648,1,0,2018,1,860.0
649,1,0,2018,2,774.0
650,1,0,2018,3,954.0
651,1,0,2018,4,1010.0
652,1,0,2018,5,994.0
653,1,0,2018,6,1034.0
654,1,0,2018,7,1151.0
655,1,0,2018,8,813.0
656,1,0,2018,9,1102.0
657,1,0,2018,10,1127.0
658,1,0,2018,11,929.0
659,1,0,2018,12,900.0
661,1,0,2017,1,690.0
662,1,0,2017,2,846.0
663,1,0,2017,3,1060.0
664,1,0,2017,4,895.0
665,1,0,2017,5,1070.0
666,1,0,2017,6,948.0
667,1,0,2017,7,1064.0
668,1,0,2017,8,831.0
669,1,0,2017,9,1009.0
670,1,0,2017,10,1052.0
671,1,0,2017,11,925.0
672,1,0,2017,12,873.0
674,1,0,2016,1,777.0
675,1,0,2016,2,775.0
676,1,0,2016,3,898.0
677,1,0,2016,4,998.0
678,1,0,2016,5,850.0
679,1,0,2016,6,1018.0
680,1,0,2016,7,1095.0
681,1,0,2016,8,958.0
682,1,0,2016,9,958.0
683,1,0,2016,10,1022.0
684,1,0,2016,11,960.0
685,1,0,2016,12,870.0
687,1,0,2015,1,781.0
688,1,0,2015,2,713.0
689,1,0,2015,3,908.0
690,1,0,2015,4,966.0
691,1,0,2015,5,940.0
692,1,0,2015,6,952.0
693,1,0,2015,7,1176.0
694,1,0,2015,8,864.0
695,1,0,2015,9,1007.0
696,1,0,2015,10,1110.0
697,1,0,2015,11,991.0
698,1,0,2015,12,950.0
700,1,0,2014,1,778.0
701,1,0,2014,2,742.0
702,1,0,2014,3,993.0
703,1,0,2014,4,946.0
704,1,0,2014,5,925.0
705,1,0,2014,6,880.0
706,1,0,2014,7,1029.0
707,1,0,2014,8,802.0
708,1,0,2014,9,936.0
709,1,0,2014,10,1042.0
710,1,0,2014,11,943.0
711,1,0,2014,12,830.0
713,1,0,2013,1,796.0
714,1,0,2013,2,773.0
715,1,0,2013,3,906.0
716,1,0,2013,4,1038.0
717,1,0,2013,5,848.0
718,1,0,2013,6,1055.0
719,1,0,2013,7,1138.0
720,1,0,2013,8,791.0
721,1,0,2013,9,1000.0
722,1,0,2013,10,1074.0
723,1,0,2013,11,939.0
724,1,0,2013,12,828.0
726,1,0,2012,1,713.0
727,1,0,2012,2,714.0
728,1,0,2012,3,946.0
729,1,0,2012,4,919.0
730,1,0,2012,5,1035.0
731,1,0,2012,6,1041.0
732,1,0,2012,7,1045.0
733,1,0,2012,8,887.0
734,1,0,2012,9,921.0
735,1,0,2012,10,1090.0
736,1,0,2012,11,984.0
737,1,0,2012,12,810.0
739,1,0,2011,1,726.0
740,1,0,2011,2,760.0
741,1,0,2011,3,883.0
742,1,0,2011,4,835.0
743,1,0,2011,5,1034.0
744,1,0,2011,6,783.0
745,1,0,2011,7,951.0
746,1,0,2011,8,790.0
747,1,0,2011,9,906.0
748,1,0,2011,10,916.0
749,1,0,2011,11,842.0
750,1,0,2011,12,832.0
752,1,0,2010,1,613.0
753,1,0,2010,2,683.0
754,1,0,2010,3,829.0
755,1,0,2010,4,938.0
756,1,0,2010,5,743.0
757,1,0,2010,6,814.0
758,1,0,2010,7,932.0
759,1,0,2010,8,794.0
760,1,0,2010,9,955.0
761,1,0,2010,10,910.0
762,1,0,2010,11,827.0
763,1,0,2010,12,861.0
765,1,0,2009,1,512.0
766,1,0,2009,2,802.0
767,1,0,2009,3,607.0
768,1,0,2009,4,776.0
769,1,0,2009,5,768.0
770,1,0,2009,6,678.0
771,1,0,2009,7,991.0
772,1,0,2009,8,752.0
773,1,0,2009,9,846.0
774,1,0,2009,10,953.0
775,1,0,2009,11,835.0
776,1,0,2009,12,747.0
778,1,0,2008,1,727.0
779,1,0,2008,2,793.0
780,1,0,2008,3,763.0
781,1,0,2008,4,837.0
782,1,0,2008,5,871.0
783,1,0,2008,6,859.0
784,1,0,2008,7,832.0
785,1,0,2008,8,760.0
786,1,0,2008,9,747.0
787,1,0,2008,10,874.0
788,1,0,2008,11,625.0
789,1,0,2008,12,657.0
791,1,0,2007,1,699.0
792,1,0,2007,2,612.0
793,1,0,2007,3,411.0
794,1,0,2007,4,821.0
795,1,0,2007,5,858.0
796,1,0,2007,6,804.0
797,1,0,2007,7,935.0
798,1,0,2007,8,759.0
799,1,0,2007,9,797.0
800,1,0,2007,10,873.0
801,1,0,2007,11,868.0
802,1,0,2007,12,690.0
804,1,0,2006,1,708.0
805,1,0,2006,2,698.0
806,1,0,2006,3,1138.0
807,1,0,2006,4,750.0
808,1,0,2006,5,476.0
809,1,0,2006,6,565.0
810,1,0,2006,7,845.0
811,1,0,2006,8,774.0
812,1,0,2006,9,718.0
813,1,0,2006,10,599.0
814,1,0,2006,11,494.0
815,1,0,2006,12,864.0
817,1,0,2005,1,749.0
818,1,0,2005,2,961.0
819,1,0,2005,3,1115.0
820,1,0,2005,4,937.0
821,1,0,2005,5,902.0
822,1,0,2005,6,901.0
823,1,0,2005,7,951.0
824,1,0,2005,8,811.0
825,1,0,2005,9,1086.0
826,1,0,2005,10,962.0
827,1,0,2005,11,845.0
828,1,0,2005,12,817.0
830,1,0,2004,1,828.0
831,1,0,2004,2,723.0
832,1,0,2004,3,817.0
833,1,0,2004,4,875.0
834,1,0,2004,5,867.0
835,1,0,2004,6,859.0
836,1,0,2004,7,970.0
837,1,0,2004,8,784.0
838,1,0,2004,9,957.0
839,1,0,2004,10,1022.0
840,1,0,2004,11,903.0
841,1,0,2004,12,942.0
843,1,0,2003,1,747.0
844,1,0,2003,2,572.0
845,1,0,2003,3,854.0
846,1,0,2003,4,844.0
847,1,0,2003,5,763.0
848,1,0,2003,6,855.0
849,1,0,2003,7,562.0
850,1,0,2003,8,698.0
851,1,0,2003,9,945.0
852,1,0,2003,10,960.0
853,1,0,2003,11,953.0
854,1,0,2003,12,858.0
856,1,0,2002,1,852.0
857,1,0,2002,2,817.0
858,1,0,2002,3,897.0
859,1,0,2002,4,784.0
860,1,0,2002,5,857.0
861,1,0,2002,6,987.0
862,1,0,2002,7,1026.0
863,1,0,2002,8,785.0
864,1,0,2002,9,1039.0
865,1,0,2002,10,1019.0
866,1,0,2002,11,882.0
867,1,0,2002,12,706.0
869,1,0,2001,1,871.0
870,1,0,2001,2,820.0
871,1,0,2001,3,962.0
872,1,0,2001,4,897.0
873,1,0,2001,5,1081.0
874,1,0,2001,6,905.0
875,1,0,2001,7,1047.0
876,1,0,2001,8,814.0
877,1,0,2001,9,953.0
878,1,0,2001,10,1104.0
879,1,0,2001,11,1001.0
880,1,0,2001,12,941.0
882,1,0,2000,1,835.0
883,1,0,2000,2,890.0
884,1,0,2000,3,974.0
885,1,0,2000,4,834.0
886,1,0,2000,5,1086.0
887,1,0,2000,6,842.0
888,1,0,2000,7,1102.0
889,1,0,2000,8,881.0
890,1,0,2000,9,978.0
891,1,0,2000,10,1078.0
892,1,0,2000,11,1017.0
893,1,0,2000,12,950.0
920,1,1,2020,1,28.0
921,1,1,2020,2,34.0
922,1,1,2020,3,33.0
923,1,1,2020,4,34.0
924,1,1,2020,5,34.0
925,1,1,2020,6,49.0
926,1,1,2020,7,58.0
927,1,1,2020,8,36.0
928,1,1,2020,9,49.0
929,1,1,2020,10,50.0
930,1,1,2020,11,27.0
931,1,1,2020,12,33.0
933,1,1,2019,1,32.0
934,1,1,2019,2,26.0
935,1,1,2019,3,44.0
936,1,1,2019,4,35.0
937,1,1,2019,5,41.0
938,1,1,2019,6,61.0
939,1,1,2019,7,81.0
940,1,1,2019,8,37.0
941,1,1,2019,9,55.0
942,1,1,2019,10,45.0
943,1,1,2019,11,41.0
944,1,1,2019,12,43.0
946,1,1,2018,1,40.0
947,1,1,2018,2,40.0
948,1,1,2018,3,35.0
949,1,1,2018,4,44.0
950,1,1,2018,5,43.0
951,1,1,2018,6,49.0
952,1,1,2018,7,72.0
953,1,1,2018,8,39.0
954,1,1,2018,9,59.0
955,1,1,2018,10,60.0
956,1,1,2018,11,37.0
957,1,1,2018,12,37.0
959,1,1,2017,1,22.0
960,1,1,2017,2,41.0
961,1,1,2017,3,36.0
962,1,1,2017,4,36.0
963,1,1,2017,5,60.0
964,1,1,2017,6,54.0
965,1,1,2017,7,65.0
966,1,1,2017,8,38.0
967,1,1,2017,9,59.0
968,1,1,2017,10,59.0
969,1,1,2017,11,48.0
970,1,1,2017,12,33.0
972,1,1,2016,1,31.0
973,1,1,2016,2,24.0
974,1,1,2016,3,41.0
975,1,1,2016,4,42.0
976,1,1,2016,5,44.0
977,1,1,2016,6,54.0
978,1,1,2016,7,61.0
979,1,1,2016,8,70.0
980,1,1,2016,9,70.0
981,1,1,2016,10,44.0
982,1,1,2016,11,32.0
983,1,1,2016,12,35.0
985,1,1,2015,1,19.0
986,1,1,2015,2,18.0
987,1,1,2015,3,49.0
988,1,1,2015,4,45.0
989,1,1,2015,5,41.0
990,1,1,2015,6,54.0
991,1,1,2015,7,65.0
992,1,1,2015,8,36.0
993,1,1,2015,9,49.0
994,1,1,2015,10,52.0
995,1,1,2015,11,43.0
996,1,1,2015,12,38.0
998,1,1,2014,1,29.0
999,1,1,2014,2,22.0
1000,1,1,2014,3,46.0
1001,1,1,2014,4,55.0
1002,1,1,2014,5,50.0
1003,1,1,2014,6,58.0
1004,1,1,2014,7,62.0
1005,1,1,2014,8,43.0
1006,1,1,2014,9,60.0
1007,1,1,2014,10,55.0
1008,1,1,2014,11,42.0
1009,1,1,2014,12,35.0
1011,1,1,2013,1,29.0
1012,1,1,2013,2,22.0
1013,1,1,2013,3,33.0
1014,1,1,2013,4,50.0
1015,1,1,2013,5,43.0
1016,1,1,2013,6,54.0
1017,1,1,2013,7,68.0
1018,1,1,2013,8,36.0
1019,1,1,2013,9,53.0
1020,1,1,2013,10,53.0
1021,1,1,2013,11,53.0
1022,1,1,2013,12,27.0
1024,1,1,2012,1,32.0
1025,1,1,2012,2,20.0
1026,1,1,2012,3,44.0
1027,1,1,2012,4,37.0
1028,1,1,2012,5,64.0
1029,1,1,2012,6,61.0
1030,1,1,2012,7,64.0
1031,1,1,2012,8,64.0
1032,1,1,2012,9,61.0
1033,1,1,2012,10,61.0
1034,1,1,2012,11,49.0
1035,1,1,2012,12,23.0
1037,1,1,2011,1,26.0
1038,1,1,2011,2,26.0
1039,1,1,2011,3,32.0
1040,1,1,2011,4,55.0
1041,1,1,2011,5,68.0
1042,1,1,2011,6,49.0
1043,1,1,2011,7,56.0
1044,1,1,2011,8,35.0
1045,1,1,2011,9,52.0
1046,1,1,2011,10,36.0
1047,1,1,2011,11,33.0
1048,1,1,2011,12,30.0
1050,1,1,2010,1,17.0
1051,1,1,2010,2,21.0
1052,1,1,2010,3,29.0
1053,1,1,2010,4,41.0
1054,1,1,2010,5,31.0
1055,1,1,2010,6,57.0
1056,1,1,2010,7,65.0
1057,1,1,2010,8,48.0
1058,1,1,2010,9,42.0
1059,1,1,2010,10,49.0
1060,1,1,2010,11,33.0
1061,1,1,2010,12,23.0
1063,1,1,2009,1,22.0
1064,1,1,2009,2,35.0
1065,1,1,2009,3,20.0
1066,1,1,2009,4,43.0
1067,1,1,2009,5,49.0
1068,1,1,2009,6,34.0
1069,1,1,2009,7,61.0
1070,1,1,2009,8,40.0
1071,1,1,2009,9,37.0
1072,1,1,2009,10,47.0
1073,1,1,2009,11,34.0
1074,1,1,2009,12,37.0
1076,1,1,2008,1,27.0
1077,1,1,2008,2,29.0
1078,1,1,2008,3,25.0
1079,1,1,2008,4,41.0
1080,1,1,2008,5,57.0
1081,1,1,2008,6,59.0
1082,1,1,2008,7,48.0
1083,1,1,2008,8,55.0
1084,1,1,2008,9,48.0
1085,1,1,2008,10,46.0
1086,1,1,2008,11,27.0
1087,1,1,2008,12,27.0
1089,1,1,2007,1,19.0
1090,1,1,2007,2,33.0
1091,1,1,2007,3,20.0
1092,1,1,2007,4,43.0
1093,1,1,2007,5,48.0
1094,1,1,2007,6,50.0
1095,1,1,2007,7,59.0
1096,1,1,2007,8,39.0
1097,1,1,2007,9,41.0
