,Category,Accident_Type,Year,Month,Value
200,alcohol accidents,all in all,2007,6,51.0
201,alcohol accidents,all in all,2007,7,65.0
202,alcohol accidents,all in all,2007,8,44.0
203,alcohol accidents,all in all,2007,9,54.0
204,alcohol accidents,all in all,2007,10,55.0
205,alcohol accidents,all in all,2007,11,36.0
206,alcohol accidents,all in all,2007,12,37.0
208,alcohol accidents,all in all,2006,1,44.0
209,alcohol accidents,all in all,2006,2,50.0
210,alcohol accidents,all in all,2006,3,40.0
211,alcohol accidents,all in all,2006,4,40.0
212,alcohol accidents,all in all,2006,5,53.0
213,alcohol accidents,all in all,2006,6,51.0
214,alcohol accidents,all in all,2006,7,64.0
215,alcohol accidents,all in all,2006,8,48.0
216,alcohol accidents,all in all,2006,9,64.0
217,alcohol accidents,all in all,2006,10,45.0
218,alcohol accidents,all in all,2006,11,48.0
219,alcohol accidents,all in all,2006,12,52.0
221,alcohol accidents,all in all,2005,1,48.0
222,alcohol accidents,all in all,2005,2,40.0
223,alcohol accidents,all in all,2005,3,40.0
224,alcohol accidents,all in all,2005,4,40.0
225,alcohol accidents,all in all,2005,5,48.0
226,alcohol accidents,all in all,2005,6,57.0
227,alcohol accidents,all in all,2005,7,63.0
228,alcohol accidents,all in all,2005,8,48.0
229,alcohol accidents,all in all,2005,9,76.0
230,alcohol accidents,all in all,2005,10,57.0
231,alcohol accidents,all in all,2005,11,42.0
232,alcohol accidents,all in all,2005,12,41.0
234,alcohol accidents,all in all,2004,1,42.0
235,alcohol accidents,all in all,2004,2,48.0
236,alcohol accidents,all in all,2004,3,44.0
237,alcohol accidents,all in all,2004,4,37.0
238,alcohol accidents,all in all,2004,5,55.0
239,alcohol accidents,all in all,2004,6,58.0
240,alcohol accidents,all in all,2004,7,67.0
241,alcohol accidents,all in all,2004,8,58.0
242,alcohol accidents,all in all,2004,9,79.0
243,alcohol accidents,all in all,2004,10,68.0
244,alcohol accidents,all in all,2004,11,51.0
245,alcohol accidents,all in all,2004,12,52.0
247,alcohol accidents,all in all,2003,1,55.0
248,alcohol accidents,all in all,2003,2,44.0
249,alcohol accidents,all in all,2003,3,53.0
250,alcohol accidents,all in all,2003,4,50.0
251,alcohol accidents,all in all,2003,5,65.0
252,alcohol accidents,all in all,2003,6,82.0
253,alcohol accidents,all in all,2003,7,76.0
254,alcohol accidents,all in all,2003,8,66.0
255,alcohol accidents,all in all,2003,9,63.0
256,alcohol accidents,all in all,2003,10,74.0
257,alcohol accidents,all in all,2003,11,44.0
258,alcohol accidents,all in all,2003,12,58.0
260,alcohol accidents,all in all,2002,1,44.0
261,alcohol accidents,all in all,2002,2,49.0
262,alcohol accidents,all in all,2002,3,61.0
263,alcohol accidents,all in all,2002,4,65.0
264,alcohol accidents,all in all,2002,5,58.0
265,alcohol accidents,all in all,2002,6,74.0
266,alcohol accidents,all in all,2002,7,84.0
267,alcohol accidents,all in all,2002,8,71.0
268,alcohol accidents,all in all,2002,9,107.0
269,alcohol accidents,all in all,2002,10,83.0
270,alcohol accidents,all in all,2002,11,44.0
271,alcohol accidents,all in all,2002,12,63.0
273,alcohol accidents,all in all,2001,1,66.0
274,alcohol accidents,all in all,2001,2,49.0
275,alcohol accidents,all in all,2001,3,63.0
276,alcohol accidents,all in all,2001,4,68.0
277,alcohol accidents,all in all,2001,5,85.0
278,alcohol accidents,all in all,2001,6,68.0
279,alcohol accidents,all in all,2001,7,71.0
280,alcohol accidents,all in all,2001,8,60.0
281,alcohol accidents,all in all,2001,9,107.0
282,alcohol accidents,all in all,2001,10,77.0
283,alcohol accidents,all in all,2001,11,68.0
284,alcohol accidents,all in all,2001,12,66.0
286,alcohol accidents,all in all,2000,1,78.0
287,alcohol accidents,all in all,2000,2,53.0
288,alcohol accidents,all in all,2000,3,73.0
289,alcohol accidents,all in all,2000,4,78.0
290,alcohol accidents,all in all,2000,5,96.0
291,alcohol accidents,all in all,2000,6,57.0
292,alcohol accidents,all in all,2000,7,99.0
293,alcohol accidents,all in all,2000,8,77.0
294,alcohol accidents,all in all,2000,9,84.0
295,alcohol accidents,all in all,2000,10,83.0
296,alcohol accidents,all in all,2000,11,71.0
297,alcohol accidents,all in all,2000,12,85.0
324,alcohol accidents,injured and killed,2020,1,11.0
325,alcohol accidents,injured and killed,2020,2,19.0
326,alcohol accidents,injured and killed,2020,3,13.0
327,alcohol accidents,injured and killed,2020,4,15.0
328,alcohol accidents,injured and killed,2020,5,26.0
329,alcohol accidents,injured and killed,2020,6,30.0
330,alcohol accidents,injured and killed,2020,7,43.0
331,alcohol accidents,injured and killed,2020,8,29.0
332,alcohol accidents,injured and killed,2020,9,24.0
333,alcohol accidents,injured and killed,2020,10,20.0
334,alcohol accidents,injured and killed,2020,11,11.0
335,alcohol accidents,injured and killed,2020,12,9.0
337,alcohol accidents,injured and killed,2019,1,7.0
338,alcohol accidents,injured and killed,2019,2,7.0
339,alcohol accidents,injured and killed,2019,3,22.0
340,alcohol accidents,injured and killed,2019,4,18.0
341,alcohol accidents,injured and killed,2019,5,21.0
342,alcohol accidents,injured and killed,2019,6,24.0
343,alcohol accidents,injured and killed,2019,7,34.0
344,alcohol accidents,injured and killed,2019,8,23.0
345,alcohol accidents,injured and killed,2019,9,20.0
346,alcohol accidents,injured and killed,2019,10,20.0
347,alcohol accidents,injured and killed,2019,11,19.0
348,alcohol accidents,injured and killed,2019,12,12.0
350,alcohol accidents,injured and killed,2018,1,8.0
351,alcohol accidents,injured and killed,2018,2,13.0
352,alcohol accidents,injured and killed,2018,3,12.0
353,alcohol accidents,injured and killed,2018,4,8.0
354,alcohol accidents,injured and killed,2018,5,23.0
355,alcohol accidents,injured and killed,2018,6,14.0
356,alcohol accidents,injured and killed,2018,7,29.0
357,alcohol accidents,injured and killed,2018,8,18.0
358,alcohol accidents,injured and killed,2018,9,22.0
359,alcohol accidents,injured and killed,2018,10,16.0
360,alcohol accidents,injured and killed,2018,11,13.0
361,alcohol accidents,injured and killed,2018,12,6.0
363,alcohol accidents,injured and killed,2017,1,4.0
364,alcohol accidents,injured and killed,2017,2,4.0
365,alcohol accidents,injured and killed,2017,3,15.0
366,alcohol accidents,injured and killed,2017,4,10.0
367,alcohol accidents,injured and killed,2017,5,16.0
368,alcohol accidents,injured and killed,2017,6,27.0
369,alcohol accidents,injured and killed,2017,7,18.0
370,alcohol accidents,injured and killed,2017,8,14.0
371,alcohol accidents,injured and killed,2017,9,22.0
372,alcohol accidents,injured and killed,2017,10,16.0
373,alcohol accidents,injured and killed,2017,11,13.0
374,alcohol accidents,injured and killed,2017,12,17.0
376,alcohol accidents,injured and killed,2016,1,6.0
377,alcohol accidents,injured and killed,2016,2,3.0
378,alcohol accidents,injured and killed,2016,3,6.0
379,alcohol accidents,injured and killed,2016,4,8.0
380,alcohol accidents,injured and killed,2016,5,17.0
381,alcohol accidents,injured and killed,2016,6,19.0
382,alcohol accidents,injured and killed,2016,7,23.0
383,alcohol accidents,injured and killed,2016,8,12.0
384,alcohol accidents,injured and killed,2016,9,22.0
385,alcohol accidents,injured and killed,2016,10,11.0
386,alcohol accidents,injured and killed,2016,11,7.0
387,alcohol accidents,injured and killed,2016,12,10.0
389,alcohol accidents,injured and killed,2015,1,21.0
390,alcohol accidents,injured and killed,2015,2,3.0
391,alcohol accidents,injured and killed,2015,3,9.0
392,alcohol accidents,injured and killed,2015,4,23.0
393,alcohol accidents,injured and killed,2015,5,30.0
394,alcohol accidents,injured and killed,2015,6,19.0
395,alcohol accidents,injured and killed,2015,7,37.0
396,alcohol accidents,injured and killed,2015,8,29.0
397,alcohol accidents,injured and killed,2015,9,25.0
398,alcohol accidents,injured and killed,2015,10,12.0
399,alcohol accidents,injured and killed,2015,11,11.0
400,alcohol accidents,injured and killed,2015,12,6.0
402,alcohol accidents,injured and killed,2014,1,4.0
403,alcohol accidents,injured and killed,2014,2,7.0
404,alcohol accidents,injured and killed,2014,3,16.0
405,alcohol accidents,injured and killed,2014,4,15.0
406,alcohol accidents,injured and killed,2014,5,19.0
407,alcohol accidents,injured and killed,2014,6,16.0
408,alcohol accidents,injured and killed,2014,7,21.0
409,alcohol accidents,injured and killed,2014,8,13.0
410,alcohol accidents,injured and killed,2014,9,18.0
411,alcohol accidents,injured and killed,2014,10,21.0
412,alcohol accidents,injured and killed,2014,11,14.0
413,alcohol accidents,injured and killed,2014,12,3.0
415,alcohol accidents,injured and killed,2013,1,2.0
416,alcohol accidents,injured and killed,2013,2,0.0
417,alcohol accidents,injured and killed,2013,3,8.0
418,alcohol accidents,injured and killed,2013,4,5.0
419,alcohol accidents,injured and killed,2013,5,21.0
420,alcohol accidents,injured and killed,2013,6,20.0
421,alcohol accidents,injured and killed,2013,7,24.0
422,alcohol accidents,injured and killed,2013,8,22.0
423,alcohol accidents,injured and killed,2013,9,17.0
424,alcohol accidents,injured and killed,2013,10,12.0
425,alcohol accidents,injured and killed,2013,11,12.0
426,alcohol accidents,injured and killed,2013,12,10.0
428,alcohol accidents,injured and killed,2012,1,11.0
429,alcohol accidents,injured and killed,2012,2,5.0
430,alcohol accidents,injured and killed,2012,3,5.0
431,alcohol accidents,injured and killed,2012,4,22.0
432,alcohol accidents,injured and killed,2012,5,33.0
433,alcohol accidents,injured and killed,2012,6,35.0
434,alcohol accidents,injured and killed,2012,7,30.0
435,alcohol accidents,injured and killed,2012,8,31.0
436,alcohol accidents,injured and killed,2012,9,24.0
437,alcohol accidents,injured and killed,2012,10,6.0
438,alcohol accidents,injured and killed,2012,11,10.0
439,alcohol accidents,injured and killed,2012,12,11.0
441,alcohol accidents,injured and killed,2011,1,16.0
442,alcohol accidents,injured and killed,2011,2,7.0
443,alcohol accidents,injured and killed,2011,3,9.0
444,alcohol accidents,injured and killed,2011,4,27.0
445,alcohol accidents,injured and killed,2011,5,20.0
446,alcohol accidents,injured and killed,2011,6,21.0
447,alcohol accidents,injured and killed,2011,7,27.0
448,alcohol accidents,injured and killed,2011,8,17.0
449,alcohol accidents,injured and killed,2011,9,22.0
450,alcohol accidents,injured and killed,2011,10,10.0
451,alcohol accidents,injured and killed,2011,11,16.0
452,alcohol accidents,injured and killed,2011,12,6.0
454,alcohol accidents,injured and killed,2010,1,7.0
455,alcohol accidents,injured and killed,2010,2,10.0
456,alcohol accidents,injured and killed,2010,3,12.0
457,alcohol accidents,injured and killed,2010,4,25.0
458,alcohol accidents,injured and killed,2010,5,15.0
459,alcohol accidents,injured and killed,2010,6,20.0
460,alcohol accidents,injured and killed,2010,7,29.0
461,alcohol accidents,injured and killed,2010,8,25.0
462,alcohol accidents,injured and killed,2010,9,26.0
463,alcohol accidents,injured and killed,2010,10,13.0
464,alcohol accidents,injured and killed,2010,11,7.0
465,alcohol accidents,injured and killed,2010,12,12.0
467,alcohol accidents,injured and killed,2009,1,7.0
468,alcohol accidents,injured and killed,2009,2,12.0
469,alcohol accidents,injured and killed,2009,3,5.0
470,alcohol accidents,injured and killed,2009,4,31.0
471,alcohol accidents,injured and killed,2009,5,34.0
472,alcohol accidents,injured and killed,2009,6,19.0
473,alcohol accidents,injured and killed,2009,7,27.0
474,alcohol accidents,injured and killed,2009,8,26.0
475,alcohol accidents,injured and killed,2009,9,18.0
476,alcohol accidents,injured and killed,2009,10,15.0
477,alcohol accidents,injured and killed,2009,11,5.0
478,alcohol accidents,injured and killed,2009,12,14.0
480,alcohol accidents,injured and killed,2008,1,8.0
481,alcohol accidents,injured and killed,2008,2,16.0
482,alcohol accidents,injured and killed,2008,3,9.0
483,alcohol accidents,injured and killed,2008,4,10.0
484,alcohol accidents,injured and killed,2008,5,37.0
485,alcohol accidents,injured and killed,2008,6,32.0
486,alcohol accidents,injured and killed,2008,7,24.0
487,alcohol accidents,injured and killed,2008,8,23.0
488,alcohol accidents,injured and killed,2008,9,28.0
489,alcohol accidents,injured and killed,2008,10,19.0
490,alcohol accidents,injured and killed,2008,11,14.0
491,alcohol accidents,injured and killed,2008,12,20.0
493,alcohol accidents,injured and killed,2007,1,13.0
494,alcohol accidents,injured and killed,2007,2,15.0
495,alcohol accidents,injured and killed,2007,3,14.0
496,alcohol accidents,injured and killed,2007,4,27.0
497,alcohol accidents,injured and killed,2007,5,39.0
498,alcohol accidents,injured and killed,2007,6,27.0
499,alcohol accidents,injured and killed,2007,7,38.0
500,alcohol accidents,injured and killed,2007,8,20.0
501,alcohol accidents,injured and killed,2007,9,24.0
502,alcohol accidents,injured and killed,2007,10,18.0
503,alcohol accidents,injured and killed,2007,11,26.0
504,alcohol accidents,injured and killed,2007,12,20.0
506,alcohol accidents,injured and killed,2006,1,21.0
507,alcohol accidents,injured and killed,2006,2,21.0
508,alcohol accidents,injured and killed,2006,3,14.0
509,alcohol accidents,injured and killed,2006,4,16.0
510,alcohol accidents,injured and killed,2006,5,28.0
511,alcohol accidents,injured and killed,2006,6,22.0
512,alcohol accidents,injured and killed,2006,7,37.0
513,alcohol accidents,injured and killed,2006,8,25.0
514,alcohol accidents,injured and killed,2006,9,35.0
515,alcohol accidents,injured and killed,2006,10,24.0
516,alcohol accidents,injured and killed,2006,11,22.0
517,alcohol accidents,injured and killed,2006,12,21.0
519,alcohol accidents,injured and killed,2005,1,13.0
520,alcohol accidents,injured and killed,2005,2,14.0
521,alcohol accidents,injured and killed,2005,3,13.0
522,alcohol accidents,injured and killed,2005,4,19.0
523,alcohol accidents,injured and killed,2005,5,21.0
524,alcohol accidents,injured and killed,2005,6,31.0
525,alcohol accidents,injured and killed,2005,7,26.0
526,alcohol accidents,injured and killed,2005,8,33.0
527,alcohol accidents,injured and killed,2005,9,50.0
528,alcohol accidents,injured and killed,2005,10,35.0
529,alcohol accidents,injured and killed,2005,11,14.0
530,alcohol accidents,injured and killed,2005,12,12.0
532,alcohol accidents,injured and killed,2004,1,10.0
533,alcohol accidents,injured and killed,2004,2,21.0
534,alcohol accidents,injured and killed,2004,3,18.0
535,alcohol accidents,injured and killed,2004,4,10.0
536,alcohol accidents,injured and killed,2004,5,30.0
537,alcohol accidents,injured and killed,2004,6,25.0
538,alcohol accidents,injured and killed,2004,7,44.0
539,alcohol accidents,injured and killed,2004,8,47.0
540,alcohol accidents,injured and killed,2004,9,41.0
541,alcohol accidents,injured and killed,2004,10,26.0
542,alcohol accidents,injured and killed,2004,11,20.0
543,alcohol accidents,injured and killed,2004,12,12.0
545,alcohol accidents,injured and killed,2003,1,18.0
546,alcohol accidents,injured and killed,2003,2,16.0
547,alcohol accidents,injured and killed,2003,3,17.0
548,alcohol accidents,injured and killed,2003,4,25.0
549,alcohol accidents,injured and killed,2003,5,26.0
550,alcohol accidents,injured and killed,2003,6,41.0
551,alcohol accidents,injured and killed,2003,7,35.0
552,alcohol accidents,injured and killed,2003,8,40.0
553,alcohol accidents,injured and killed,2003,9,26.0
554,alcohol accidents,injured and killed,2003,10,17.0
555,alcohol accidents,injured and killed,2003,11,31.0
556,alcohol accidents,injured and killed,2003,12,27.0
558,alcohol accidents,injured and killed,2002,1,24.0
559,alcohol accidents,injured and killed,2002,2,22.0
560,alcohol accidents,injured and killed,2002,3,21.0
561,alcohol accidents,injured and killed,2002,4,28.0
562,alcohol accidents,injured and killed,2002,5,32.0
563,alcohol accidents,injured and killed,2002,6,42.0
564,alcohol accidents,injured and killed,2002,7,40.0
565,alcohol accidents,injured and killed,2002,8,29.0
566,alcohol accidents,injured and killed,2002,9,51.0
567,alcohol accidents,injured and killed,2002,10,53.0
568,alcohol accidents,injured and killed,2002,11,10.0
569,alcohol accidents,injured and killed,2002,12,27.0
571,alcohol accidents,injured and killed,2001,1,36.0
572,alcohol accidents,injured and killed,2001,2,20.0
573,alcohol accidents,injured and killed,2001,3,36.0
574,alcohol accidents,injured and killed,2001,4,32.0
575,alcohol accidents,injured and killed,2001,5,32.0
576,alcohol accidents,injured and killed,2001,6,46.0
577,alcohol accidents,injured and killed,2001,7,35.0
578,alcohol accidents,injured and killed,2001,8,21.0
579,alcohol accidents,injured and killed,2001,9,48.0
580,alcohol accidents,injured and killed,2001,10,37.0
581,alcohol accidents,injured and killed,2001,11,25.0
582,alcohol accidents,injured and killed,2001,12,23.0
584,alcohol accidents,injured and killed,2000,1,37.0
585,alcohol accidents,injured and killed,2000,2,19.0
586,alcohol accidents,injured and killed,2000,3,18.0
587,alcohol accidents,injured and killed,2000,4,26.0
588,alcohol accidents,injured and killed,2000,5,44.0
589,alcohol accidents,injured and killed,2000,6,32.0
590,alcohol accidents,injured and killed,2000,7,37.0
591,alcohol accidents,injured and killed,2000,8,32.0
592,alcohol accidents,injured and killed,2000,9,45.0
593,alcohol accidents,injured and killed,2000,10,31.0
594,alcohol accidents,injured and killed,2000,11,24.0
595,alcohol accidents,injured and killed,2000,12,31.0
622,escape accidents,all in all,2020,1,791.0
623,escape accidents,all in all,2020,2,870.0
624,escape accidents,all in all,2020,3,744.0
625,escape accidents,all in all,2020,4,607.0
626,escape accidents,all in all,2020,5,859.0
627,escape accidents,all in all,2020,6,905.0
628,escape accidents,all in all,2020,7,1010.0
629,escape accidents,all in all,2020,8,735.0
630,escape accidents,all in all,2020,9,948.0
631,escape accidents,all in all,2020,10,997.0
632,escape accidents,all in all,2020,11,864.0
633,escape accidents,all in all,2020,12,694.0
635,escape accidents,all in all,2019,1,927.0
636,escape accidents,all in all,2019,2,883.0
637,escape accidents,all in all,2019,3,1005.0
638,escape accidents,all in all,2019,4,967.0
639,escape accidents,all in all,2019,5,1014.0
640,escape accidents,all in all,2019,6,994.0
641,escape accidents,all in all,2019,7,1187.0
642,escape accidents,all in all,2019,8,820.0
643,escape accidents,all in all,2019,9,996.0
644,escape accidents,all in all,2019,10,1088.0
645,escape accidents,all in all,2019,11,967.0
646,escape accidents,all in all,2019,12,925.0
648,escape accidents,all in all,2018,1,860.0
649,escape accidents,all in all,2018,2,774.0
650,escape accidents,all in all,2018,3,954.0
651,escape accidents,all in all,2018,4,1010.0
652,escape accidents,all in all,2018,5,994.0
653,escape accidents,all in all,2018,6,1034.0
654,escape accidents,all in all,2018,7,1151.0
655,escape accidents,all in all,2018,8,813.0
656,escape accidents,all in all,2018,9,1102.0
657,escape accidents,all in all,2018,10,1127.0
658,escape accidents,all in all,2018,11,929.0
659,escape accidents,all in all,2018,12,900.0
661,escape accidents,all in all,2017,1,690.0
662,escape accidents,all in all,2017,2,846.0
663,escape accidents,all in all,2017,3,1060.0
664,escape accidents,all in all,2017,4,895.0
665,escape accidents,all in all,2017,5,1070.0
666,escape accidents,all in all,2017,6,948.0
667,escape accidents,all in all,2017,7,1064.0
668,escape accidents,all in all,2017,8,831.0
669,escape accidents,all in all,2017,9,1009.0
670,escape accidents,all in all,2017,10,1052.0
671,escape accidents,all in all,2017,11,925.0
672,escape accidents,all in all,2017,12,873.0
674,escape accidents,all in all,2016,1,777.0
675,escape accidents,all in all,2016,2,775.0
676,escape accidents,all in all,2016,3,898.0
677,escape accidents,all in all,2016,4,998.0
678,escape accidents,all in all,2016,5,850.0
679,escape accidents,all in all,2016,6,1018.0
680,escape accidents,all in all,2016,7,1095.0
681,escape accidents,all in all,2016,8,958.0
682,escape accidents,all in all,2016,9,958.0
683,escape accidents,all in all,2016,10,1022.0
684,escape accidents,all in all,2016,11,960.0
685,escape accidents,all in all,2016,12,870.0
687,escape accidents,all in all,2015,1,781.0
688,escape accidents,all in all,2015,2,713.0
689,escape accidents,all in all,2015,3,908.0
690,escape accidents,all in all,2015,4,966.0
691,escape accidents,all in all,2015,5,940.0
692,escape accidents,all in all,2015,6,952.0
693,escape accidents,all in all,2015,7,1176.0
694,escape accidents,all in all,2015,8,864.0
695,escape accidents,all in all,2015,9,1007.0
696,escape accidents,all in all,2015,10,1110.0
697,escape accidents,all in all,2015,11,991.0
698,escape accidents,all in all,2015,12,950.0
700,escape accidents,all in all,2014,1,778.0
701,escape accidents,all in all,2014,2,742.0
702,escape accidents,all in all,2014,3,993.0
703,escape accidents,all in all,2014,4,946.0
704,escape accidents,all in all,2014,5,925.0
705,escape accidents,all in all,2014,6,880.0
706,escape accidents,all in all,2014,7,1029.0
707,escape accidents,all in all,2014,8,802.0
708,escape accidents,all in all,2014,9,936.0
709,escape accidents,all in all,2014,10,1042.0
710,escape accidents,all in all,2014,11,943.0
711,escape accidents,all in all,2014,12,830.0
713,escape accidents,all in all,2013,1,796.0
714,escape accidents,all in all,2013,2,773.0
715,escape accidents,all in all,2013,3,906.0
